timestamp,CPU Usage (%),Memory Usage (%),Total Disk IO (bytes/s),Total Network IO (bytes/s),Network Latency to www.baidu.com (ms),Predicted_Performance_Score
2024-07-08 16:25:51,73.82460820273378,76.33518456514578,136911024.0891335,5384.2792976,128.4945011138916,17.741910434360335
2024-07-08 16:25:54,63.49999999999984,86.85141933043879,131613300.99017955,5769.907,146.35205268859863,17.741547567134372
2024-07-08 16:25:59,63.49999999999984,86.85141933043879,137413943.77883497,6024.249163111112,391.2701606750488,17.01152144021312
2024-07-08 16:26:05,63.49999999999984,86.85141933043879,145002774.63779557,6356.92218488889,321.9923973083496,17.524160983038545
2024-07-08 16:26:08,63.49999999999984,86.85141933043879,163497279.29072338,6207.843015291277,231.9505214691162,17.736044547144076
2024-07-08 16:26:13,99.93355040202012,91.37977543930045,168668110.6052985,6404.540882128023,1350.0535488128662,80.49373529835265
2024-07-08 16:26:17,99.93355040202012,91.37977543930045,176182994.1306019,6689.681242531264,180.5896759033203,82.08469336809378
2024-07-08 16:26:20,99.93355040202012,91.37977543930045,181020410.47395408,6873.665844891432,278.46717834472656,81.91256052325976
2024-07-08 16:26:24,94.1141060798609,74.40813222593793,196020344.0232675,7014.374595555555,162.49513626098633,89.17525898855932
2024-07-08 16:26:27,94.1141060798609,74.40813222593793,200935073.8395591,7190.123815111112,375.7152557373047,88.11660127603453
2024-07-08 16:26:30,94.1141060798609,74.40813222593793,206158694.5777209,7377.582353777778,184.75580215454104,89.1748900708851
2024-07-08 16:26:34,94.1141060798609,74.40813222593793,211169761.66172445,7556.395694222223,541.5711402893066,88.11540898841247
2024-07-08 16:26:38,94.1141060798609,74.40813222593793,216772614.818816,7757.095612444445,1510.141134262085,87.89787516941641
2024-07-08 16:26:42,79.53878965609213,75.88947915635883,214723113.12405145,8538.538258553657,947.0396041870116,16.34495726791881
2024-07-08 16:28:45,31.700751704251857,72.6842770910402,224680959.7776832,26775.348858747908,99.75099563598631,17.741910434360335
2024-07-08 16:28:48,31.700751704251857,72.6842770910402,227363713.5975395,27098.07279630821,164.34836387634277,17.7366482028164
2024-07-08 16:28:52,31.700751704251857,72.6842770910402,230050559.4763036,27416.407922387632,519.3941593170166,16.572683297871937
2024-07-08 16:28:55,59.933333333333394,86.75707293003862,230703059.022716,26877.774063208548,414.1817092895508,16.95315652626647
2024-07-08 16:28:59,59.933333333333394,86.75707293003862,243228827.70983493,28336.2765650116,229.95281219482425,17.736044547144076
2024-07-08 16:29:02,59.933333333333394,86.75707293003862,243228827.70983493,28336.2765650116,142.58527755737305,17.741910434360335
2024-07-08 16:29:05,59.933333333333394,86.75707293003862,243228827.70983493,28336.276565011587,101.6075611114502,17.741910434360335
2024-07-08 16:29:09,81.66666666666666,78.85081746547071,258865847.59191296,27652.73089635717,179.79931831359863,17.7366482028164
2024-07-08 16:29:13,81.66666666666666,78.85081746547071,258865847.59191296,27652.73089635717,1183.9118003845217,16.34495726791881
2024-07-08 16:29:16,81.66666666666666,78.85081746547071,258865847.59191296,27652.73089635717,150.32720565795898,17.738902350060833
2024-07-08 16:29:19,81.66666666666666,78.85081746547071,258865847.59191296,27652.730896357163,126.73687934875488,17.741910434360335
2024-07-08 16:29:23,81.66666666666666,78.85081746547071,258865847.59191296,27652.73089635717,116.9114112854004,17.741910434360335
2024-07-08 16:29:26,81.19999999999966,73.4711748702398,266030354.93345216,27545.02198376745,175.70233345031738,17.7366482028164
2024-07-08 16:29:29,81.19999999999966,73.4711748702398,266030354.93345216,27545.02198376745,157.8221321105957,17.738902350060833
2024-07-08 16:29:32,81.19999999999966,73.4711748702398,266030354.93345216,27545.02198376745,152.88043022155762,17.738902350060833
2024-07-08 16:29:36,81.19999999999966,73.4711748702398,266030354.93345216,27545.02198376745,311.9356632232666,17.51731493353158
2024-07-08 16:29:40,91.41030763084323,89.53392064871284,260290423.648708,27273.296959702464,150.0718593597412,37.05264160499727
2024-07-08 16:29:43,91.41030763084323,89.53392064871284,260290423.648708,27273.296959702464,136.45005226135254,37.11301532071121
2024-07-08 16:29:46,91.41030763084323,89.53392064871284,260290423.648708,27273.296959702464,101.31955146789552,37.11301532071121
2024-07-08 16:29:50,91.41030763084323,89.53392064871284,260290423.648708,27273.296959702464,95.18885612487792,37.11301532071121
2024-07-08 16:29:53,91.41030763084323,89.53392064871284,260290423.648708,27273.296959702464,109.51876640319824,37.11301532071121
2024-07-08 16:29:56,62.42157255373117,72.397984565688,252703147.29846376,27025.06438912789,175.7054328918457,17.7366482028164
2024-07-08 16:29:59,62.42157255373117,72.397984565688,252703147.2984637,27025.06438912789,94.41804885864258,17.741910434360335
2024-07-08 16:30:02,62.42157255373117,72.397984565688,252703147.29846376,27025.06438912789,181.05602264404297,17.7366482028164
2024-07-08 16:30:06,62.42157255373117,72.397984565688,252703147.29846376,27025.06438912789,208.23955535888672,17.736752927265044
2024-07-08 16:30:09,78.30578512396697,81.0275624333238,242591505.84743,26991.03148454194,148.06270599365234,17.738902350060833
2024-07-08 16:30:12,78.30578512396697,81.0275624333238,242591505.84743,26991.03148454194,181.11276626586917,17.7366482028164
2024-07-08 16:30:16,78.30578512396697,81.0275624333238,242591505.84743,26991.03148454195,168.778657913208,17.7366482028164
2024-07-08 16:30:19,78.30578512396697,81.0275624333238,242591505.84743,26991.03148454195,132.73119926452637,17.741910434360335
2024-07-08 16:30:22,78.30578512396697,81.0275624333238,242591505.84743,26991.03148454194,135.2384090423584,17.741910434360335
2024-07-08 16:30:26,85.09602560682916,72.44841109003981,247395846.09014797,26923.301216148888,205.0888538360596,17.736752927265044
2024-07-08 16:30:29,85.09602560682916,72.44841109003981,247395846.090148,26923.30121614888,107.90777206420898,17.741910434360335
2024-07-08 16:30:32,85.09602560682916,72.44841109003981,247395846.090148,26923.301216148888,112.44845390319824,17.741910434360335
2024-07-08 16:30:35,85.09602560682916,72.44841109003981,247395846.09014797,26923.301216148888,131.4857006072998,17.741910434360335
2024-07-08 16:30:38,73.29999999999927,76.27432029247385,248634363.02009135,26838.753254408806,138.5362148284912,17.741910434360335
2024-07-08 16:30:42,73.29999999999927,76.27432029247385,248634363.02009135,26838.753254408806,178.10320854187012,17.7366482028164
2024-07-08 16:30:45,73.29999999999927,76.27432029247385,248634363.02009135,26838.753254408806,159.8503589630127,17.74608242736919
